run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230530-12:43:20-46137,runattr,,,configname,General,,
General-0-20230530-12:43:20-46137,runattr,,,datetime,20230530-12:43:20,,
General-0-20230530-12:43:20-46137,runattr,,,datetimef,20230530-124320,,
General-0-20230530-12:43:20-46137,runattr,,,experiment,General,,
General-0-20230530-12:43:20-46137,runattr,,,inifile,omnetpp.ini,,
General-0-20230530-12:43:20-46137,runattr,,,iterationvars,,,
General-0-20230530-12:43:20-46137,runattr,,,iterationvarsd,,,
General-0-20230530-12:43:20-46137,runattr,,,iterationvarsf,,,
General-0-20230530-12:43:20-46137,runattr,,,measurement,,,
General-0-20230530-12:43:20-46137,runattr,,,network,Network,,
General-0-20230530-12:43:20-46137,runattr,,,processid,46137,,
General-0-20230530-12:43:20-46137,runattr,,,repetition,0,,
General-0-20230530-12:43:20-46137,runattr,,,replication,#0,,
General-0-20230530-12:43:20-46137,runattr,,,resultdir,results,,
General-0-20230530-12:43:20-46137,runattr,,,runnumber,0,,
General-0-20230530-12:43:20-46137,runattr,,,seedset,0,,
General-0-20230530-12:43:20-46137,config,,,network,Network,,
General-0-20230530-12:43:20-46137,config,,,sim-time-limit,200s,,
General-0-20230530-12:43:20-46137,config,,,"Network.node[{0,1,2,3,4,6,7}].app.interArrivalTime",exponential(1),,
General-0-20230530-12:43:20-46137,config,,,"Network.node[{0,1,2,3,4,6,7}]app.packetByteSize",125000,,
General-0-20230530-12:43:20-46137,config,,,"Network.node[{0,1,2,3,4,6,7}].app.destination",5,,
